id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
2612358,2612358,612358 (2002 JE9),21.4,0.1394938229,0.3119176705,True,2024-05-02,95054.9347417417,0.4540517244,67925170.84006703,176.6261207916,Earth
54418653,54418653,(2023 YA2),25.21,0.0241298697,0.0539560289,False,2024-05-02,26661.336906827,0.2255354073,33739616.541662455,87.7332734397,Earth
54431659,54431659,(2024 FM2),22.43,0.0868070458,0.1941064553,False,2024-05-02,11547.6856177085,0.2067502468,30929396.543254316,80.4258460052,Earth
54431815,54431815,(2024 ET5),20.68,0.1943367684,0.4345502246,False,2024-05-02,53907.3460640833,0.375824484,56222542.30024908,146.195724276,Earth
54439314,54439314,(2024 JA),23.3,0.058150704,0.130028927,False,2024-05-02,49746.0888501646,0.2522263189,37732520.065380745,98.1160380521,Earth
54439708,54439708,(2024 JJ1),23.94,0.0433066885,0.0968366995,False,2024-05-02,39935.6339930503,0.1225849308,18338444.541777395,47.6855380812,Earth
54439895,54439895,(2024 JH2),24.68,0.0308003021,0.0688715693,False,2024-05-02,47498.9706197536,0.0148621376,2223344.128606912,5.7813715264,Earth
2690253,2690253,690253 (2014 DE80),19.49,0.3361669212,0.7516920875,False,2024-05-02,81610.6424241586,0.4531164141,67785250.41139796,176.2622850849,Earth
54496030,54496030,(2024 UL5),25.36,0.0225193047,0.050354696,False,2024-05-02,19419.7364192886,0.2642871533,39536795.20204347,102.8077026337,Earth
2522684,2522684,522684 (2016 JP),21.13,0.1579628558,0.3532156834,True,2024-05-08,29706.9614286268,0.2900635787,43392893.53809737,112.8347321143,Earth
3519488,3519488,(2010 JE),20.27,0.2347226375,0.5248557734,False,2024-05-08,89883.5590735142,0.4149197601,62071112.33187099,161.4037866789,Earth
3720440,3720440,(2015 KJ122),22.0,0.1058168859,0.2366137501,True,2024-05-08,60256.5044594558,0.3508483988,52486173.15339056,136.4800271332,Earth
3831063,3831063,(2018 SF3),25.31,0.0230438467,0.0515276076,False,2024-05-08,30537.1497113853,0.1581859996,23664288.60398085,61.5343538444,Earth
3843295,3843295,(2019 NL6),22.18,0.0973991073,0.217791025,False,2024-05-08,35798.8141333851,0.1957718489,29287051.601401843,76.1552492221,Earth
54016756,54016756,(2020 HJ6),26.7,0.0121494041,0.0271668934,False,2024-05-08,50845.7947649209,0.0830564087,12425061.831369469,32.3089429843,Earth
54209222,54209222,(2021 TK13),25.4,0.022108281,0.0494356193,False,2024-05-08,22383.9211072061,0.1782528792,26666251.049687304,69.3403700088,Earth
54278699,54278699,(2022 JH2),24.79,0.0292789148,0.0654696439,False,2024-05-08,38941.6426988414,0.3556745634,53208157.09781996,138.3574051626,Earth
54281250,54281250,(2022 KP6),29.41,0.0034878273,0.007799019,False,2024-05-08,34264.4019773044,0.0933375074,13963092.298149237,36.3082903786,Earth
54433555,54433555,(2024 GR2),21.97,0.1072889455,0.2399053753,False,2024-05-08,63096.5842821612,0.1228763052,18382033.531389926,47.7988827228,Earth
54435950,54435950,(2024 HB1),24.91,0.0277047973,0.06194981,False,2024-05-08,20586.443690276,0.1040664557,15568120.111169359,40.4818512673,Earth
54438666,54438666,(2024 HC2),22.95,0.0683211199,0.1527706684,False,2024-05-08,50156.6710885592,0.1493476905,22342096.388219234,58.0962516045,Earth
54439320,54439320,(2024 JD),27.61,0.0079901508,0.0178665204,False,2024-05-08,11872.3109286873,0.0018430969,275723.370443603,0.7169646941,Earth
54439436,54439436,(2024 JG1),25.88,0.0177237239,0.0396314515,False,2024-05-08,44321.6785392482,0.0268253667,4013017.720288929,10.4350676463,Earth
54439885,54439885,(2024 JX1),26.22,0.0151549664,0.033887535,False,2024-05-08,72165.4378295861,0.0128180515,1917553.201950305,4.9862220335,Earth
54440318,54440318,(2024 JL3),26.42,0.0138214936,0.0309057992,False,2024-05-08,66551.6287083132,0.0025169677,376533.006778799,0.9791004353,Earth
54441265,54441265,(2024 JO10),25.08,0.0256185754,0.0572848762,False,2024-05-08,44760.2878400191,0.0209909437,3140200.466809919,8.1654770993,Earth
